0;ZARZĄDZANIE GMINĄ I JEJ REPREZENTACJA;
00;Organy kolegialne i jednoosobowe gminy;
000;Rada gminy;
0000;Organizacja pracy rady gminy;A;między innymi regulaminy
0001;Planowanie i sprawozdawczość z prac rady gminy;A;w tym korespondencja
0002;Sesje rady gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
0003;Wnioski i interpelacje radnych;A;w tym rejestr i odpowiedzi
0004;Przewodniczący rady gminy;A;między innymi korespondencja kierowana do i od przewodniczącego
0005;Wnioski i postulaty mieszkańców i innych podmiotów do rady gminy oraz spotkania z mieszkańcami i innymi podmiotami;A;w tym rejestr i odpowiedzi
0006;Projekty uchwał rady gminy;A;proces ich przygotowania i uzgadniania
0007;Uchwały rady gminy;A;w tym ich rejestr; przy czym sprawy ich publikowania i badania zgodności z prawem przy klasach 0711
0008;Realizacja uchwał rady gminy i jej monitorowanie;A;
001;Komisje, zespoły i inne organy kolegialne rady gminy;
0010;Powoływanie i organizacja pracy komisji, zespołów i innych organów kolegialnych rady gminy;A;
0011;Planowanie i sprawozdawczość z prac komisji, zespołów i innych organów kolegialnych rady gminy;A;
0012;Posiedzenia komisji, zespołów i innych organów kolegialnych rady gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
0013;Projekty uchwał komisji, zespołów i innych organów kolegialnych rady gminy;A;
0014;Uchwały komisji, zespołów i innych organów kolegialnych rady gminy;A;w tym ich rejestr
0015;Realizacja uchwał komisji, zespołów i innych organów kolegialnych rady gminy;A;
002;Organy uchwałodawcze jednostek pomocniczych gminy;
0020;Organizacja pracy organów uchwałodawczych jednostek pomocniczych gminy;A;
0021;Posiedzenia (zebrania) organów uchwałodawczych jednostek pomocniczych gminy;A;między innymi zawiadomienia, stenogramy, protokoły, materiały pod obrady, uchwały
003;Młodzieżowa rada gminy i inne rady utworzone przez radę gminy;
0030;Wybory do młodzieżowej rady gminy;BE5;
0031;Prace młodzieżowej rady gminy;A;
0032;Wybory do innych rad utworzonych przez radę gminy;BE5;
0033;Prace innych rad utworzonych przez radę gminy;A;
004;Obsługa radnych gminy;
0040;Wygaśnięcie mandatu radnego;A;
0041;Kluby radnych gminy;A;
0042;Sprawy osobowe radnych gminy;BE5;
0043;Oświadczenia majątkowe radnych gminy lub o członkach ich rodzin;B6;
0044;Inne oświadczenia radnych gminy lub o członkach ich rodzin;B*);*) czas przechowywania wynika z odrębnych przepisów prawa, w innym przypadku wynosi 5 lat
0045;Podnoszenie kompetencji radnych gminy;BE5;między innymi szkolenia, seminaria
005;Wójt (burmistrz, prezydent miasta) jako organ gminy;
0050;Zbiór zarządzeń, ogłoszeń i obwieszczeń wójta (burmistrza, prezydenta miasta) jako organu gminy;A;W tym ich rejestry; przy czym sprawy ich publikowania i badania zgodności z prawem przy klasach 0711
0051;Realizacja zarządzeń, ogłoszeń i obwieszczeń wójta (burmistrza, prezydent miasta) jako organu gminy;A;
0052;Upoważnianie osób (podmiotów) do działania w imieniu wójta (burmistrza, prezydenta miasta) jako organu gminy;A;pozostałe upoważnienia przy klasie 077
